scenario,family,phase,criu_opts,pre_dump,post_dump,restore_mem_mib,hub_mode,verify,params,hypothesis
S001pure.stri__init,S,init,strict,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·strict] ok — 자원 무해 구간 전체 통과
S001pure.stri__db_open,S,db_open,strict,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·strict] ok — 자원 무해 구간 전체 통과
S001pure.stri__db_read,S,db_read,strict,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·strict] ok — 자원 무해 구간 전체 통과
S001pure.stri__db_read_p25,S,db_read_p25,strict,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·strict] ok — 자원 무해 구간 전체 통과
S001pure.stri__db_read_p50,S,db_read_p50,strict,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·strict] ok — 자원 무해 구간 전체 통과
S001pure.stri__db_read_p75,S,db_read_p75,strict,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·strict] ok — 자원 무해 구간 전체 통과
S001pure.stri__db_parse,S,db_parse,strict,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·strict] ok — 자원 무해 구간 전체 통과
S001pure.stri__db_parse_p25,S,db_parse_p25,strict,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·strict] ok — 자원 무해 구간 전체 통과
S001pure.stri__db_parse_p50,S,db_parse_p50,strict,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·strict] ok — 자원 무해 구간 전체 통과
S001pure.stri__db_parse_p75,S,db_parse_p75,strict,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·strict] ok — 자원 무해 구간 전체 통과
S001pure.stri__epg_index,S,epg_index,strict,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·strict] ok — 자원 무해 구간 전체 통과
S001pure.stri__epg_index_p25,S,epg_index_p25,strict,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·strict] ok — 자원 무해 구간 전체 통과
S001pure.stri__epg_index_p50,S,epg_index_p50,strict,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·strict] ok — 자원 무해 구간 전체 통과
S001pure.stri__epg_index_p75,S,epg_index_p75,strict,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·strict] ok — 자원 무해 구간 전체 통과
S001pure.stri__epg_text,S,epg_text,strict,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·strict] ok — 자원 무해 구간 전체 통과
S001pure.stri__epg_reserve,S,epg_reserve,strict,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·strict] ok — 자원 무해 구간 전체 통과
S001pure.stri__timer_armed,S,timer_armed,strict,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·strict] ok — 자원 무해 구간 전체 통과
S001pure.stri__db_watch,S,db_watch,strict,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·strict] ok — 자원 무해 구간 전체 통과
S001pure.stri__ready,S,ready,strict,none,none,0,none,"pong,stat",--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·strict] ok — 자원 무해 구간 전체 통과
S001pure.stri__steady,S,steady,strict,none,none,0,none,"pong,stat",--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·strict] ok — 자원 무해 구간 전체 통과
S002pure.ext___init,S,init,ext_unix,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·ext_unix] ok — 자원 무해 구간 전체 통과
S002pure.ext___db_open,S,db_open,ext_unix,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·ext_unix] ok — 자원 무해 구간 전체 통과
S002pure.ext___db_read,S,db_read,ext_unix,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·ext_unix] ok — 자원 무해 구간 전체 통과
S002pure.ext___db_read_p25,S,db_read_p25,ext_unix,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·ext_unix] ok — 자원 무해 구간 전체 통과
S002pure.ext___db_read_p50,S,db_read_p50,ext_unix,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·ext_unix] ok — 자원 무해 구간 전체 통과
S002pure.ext___db_read_p75,S,db_read_p75,ext_unix,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·ext_unix] ok — 자원 무해 구간 전체 통과
S002pure.ext___db_parse,S,db_parse,ext_unix,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·ext_unix] ok — 자원 무해 구간 전체 통과
S002pure.ext___db_parse_p25,S,db_parse_p25,ext_unix,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·ext_unix] ok — 자원 무해 구간 전체 통과
S002pure.ext___db_parse_p50,S,db_parse_p50,ext_unix,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·ext_unix] ok — 자원 무해 구간 전체 통과
S002pure.ext___db_parse_p75,S,db_parse_p75,ext_unix,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·ext_unix] ok — 자원 무해 구간 전체 통과
S002pure.ext___epg_index,S,epg_index,ext_unix,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·ext_unix] ok — 자원 무해 구간 전체 통과
S002pure.ext___epg_index_p25,S,epg_index_p25,ext_unix,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·ext_unix] ok — 자원 무해 구간 전체 통과
S002pure.ext___epg_index_p50,S,epg_index_p50,ext_unix,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·ext_unix] ok — 자원 무해 구간 전체 통과
S002pure.ext___epg_index_p75,S,epg_index_p75,ext_unix,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·ext_unix] ok — 자원 무해 구간 전체 통과
S002pure.ext___epg_text,S,epg_text,ext_unix,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·ext_unix] ok — 자원 무해 구간 전체 통과
S002pure.ext___epg_reserve,S,epg_reserve,ext_unix,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·ext_unix] ok — 자원 무해 구간 전체 통과
S002pure.ext___timer_armed,S,timer_armed,ext_unix,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·ext_unix] ok — 자원 무해 구간 전체 통과
S002pure.ext___db_watch,S,db_watch,ext_unix,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·ext_unix] ok — 자원 무해 구간 전체 통과
S002pure.ext___ready,S,ready,ext_unix,none,none,0,none,"pong,stat",--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·ext_unix] ok — 자원 무해 구간 전체 통과
S002pure.ext___steady,S,steady,ext_unix,none,none,0,none,"pong,stat",--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·ext_unix] ok — 자원 무해 구간 전체 통과
S003pure.tcp___init,S,init,tcp_est,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·tcp_est] ok — 자원 무해 구간 전체 통과
S003pure.tcp___db_open,S,db_open,tcp_est,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·tcp_est] ok — 자원 무해 구간 전체 통과
S003pure.tcp___db_read,S,db_read,tcp_est,none,none,0,none,resume,--db_mib 8 --index_mib 12 --parse_iters 120000 --refresh_ms 500 --refresh_kib 256 --timer 1 --timer_s 60 --watch 1 --substeps 1 --hub_conns 0,[pure 구성·tcp_est] ok — 자원 무해 구간 전체 통과
