cold_condition,kdat_cache,dump_phase,n_pairs,n_delta,n_missing_delta,median_delta_s,delta_ci_lo,delta_ci_hi,winner
crossover2_initburst_100_cpubusy,off,served_first,10,10,0,0.003345,-0.009725,0.028231,cold
crossover2_initburst_100_cpubusy,on,served_first,10,10,0,-0.10955,-0.125845,-0.071283,restore
crossover2_initburst_100_cpuidle,off,served_first,10,10,0,0.0150115,0.010636,0.0214205,cold
crossover2_initburst_100_cpuidle,on,served_first,10,10,0,-0.0541264,-0.0592884,-0.0514594,restore
crossover2_initburst_150_cpubusy,off,served_first,10,10,0,-0.0994155,-0.127091,-0.030409,restore
crossover2_initburst_150_cpubusy,on,served_first,10,10,0,-0.210568,-0.226536,-0.136701,restore
crossover2_initburst_150_cpuidle,off,served_first,10,10,0,-0.0368075,-0.044277,-0.0278405,restore
crossover2_initburst_150_cpuidle,on,served_first,10,10,0,-0.104531,-0.10907,-0.0961721,restore
crossover2_initburst_200_cpubusy,off,served_first,10,10,0,-0.201473,-0.220219,-0.066641,restore
crossover2_initburst_200_cpubusy,on,served_first,10,10,0,-0.3082,-0.329112,-0.174067,restore
crossover2_initburst_200_cpuidle,off,served_first,10,10,0,-0.080937,-0.08636,-0.077618,restore
crossover2_initburst_200_cpuidle,on,served_first,10,10,0,-0.150088,-0.155427,-0.147522,restore
crossover2_initburst_300_cpubusy,off,served_first,10,10,0,-0.306566,-0.421661,-0.192811,restore
crossover2_initburst_300_cpubusy,on,served_first,10,10,0,-0.422819,-0.516175,-0.3004,restore
crossover2_initburst_300_cpuidle,off,served_first,10,10,0,-0.185008,-0.189918,-0.18128,restore
crossover2_initburst_300_cpuidle,on,served_first,10,10,0,-0.253505,-0.262239,-0.246112,restore
crossover2_initburst_500_cpubusy,off,served_first,10,10,0,-0.430706,-0.77712,-0.373277,restore
crossover2_initburst_500_cpubusy,on,served_first,10,10,0,-0.532894,-0.878138,-0.489996,restore
crossover2_initburst_500_cpuidle,off,served_first,10,10,0,-0.385766,-0.390502,-0.377825,restore
crossover2_initburst_500_cpuidle,on,served_first,10,10,0,-0.457696,-0.462685,-0.455263,restore
crossover2_initburst_50_cpubusy,off,served_first,10,10,0,0.0872615,0.0829835,0.0951655,cold
crossover2_initburst_50_cpubusy,on,served_first,10,10,0,-0.0273674,-0.029805,-0.01518,restore
crossover2_initburst_50_cpuidle,off,served_first,10,10,0,0.0571814,0.0505619,0.0603531,cold
crossover2_initburst_50_cpuidle,on,served_first,10,10,0,-0.009883,-0.016314,-0.0055859,restore
crossover2_initburst_700_cpubusy,off,served_first,10,10,0,-0.760273,-0.938887,-0.709112,restore
crossover2_initburst_700_cpubusy,on,served_first,10,10,0,-0.869513,-1.03669,-0.825491,restore
crossover2_initburst_700_cpuidle,off,served_first,10,10,0,-0.590559,-0.592605,-0.580982,restore
crossover2_initburst_700_cpuidle,on,served_first,10,10,0,-0.656858,-0.661035,-0.652562,restore
