cold_run_id,restore_run_id,cold_response_s,restore_response_s,delta_s,kdat_cache,dump_phase,repeat_id
crossover2_initburst_100_cpubusy_rep01,crossover2_initburst_100_cpubusy_koff_rep01,0.172786,0.236314,0.063528,off,served_first,01
crossover2_initburst_100_cpubusy_rep01,crossover2_initburst_100_cpubusy_kon_rep01,0.172786,0.121894,-0.050892,on,served_first,01
crossover2_initburst_100_cpubusy_rep02,crossover2_initburst_100_cpubusy_koff_rep02,0.226956,0.231643,0.004687,off,served_first,02
crossover2_initburst_100_cpubusy_rep02,crossover2_initburst_100_cpubusy_kon_rep02,0.226956,0.0988889,-0.128067,on,served_first,02
crossover2_initburst_100_cpubusy_rep03,crossover2_initburst_100_cpubusy_koff_rep03,0.205167,0.231,0.025833,off,served_first,03
crossover2_initburst_100_cpubusy_rep03,crossover2_initburst_100_cpubusy_kon_rep03,0.205167,0.115211,-0.089956,on,served_first,03
crossover2_initburst_100_cpubusy_rep04,crossover2_initburst_100_cpubusy_koff_rep04,0.224123,0.212348,-0.011775,off,served_first,04
crossover2_initburst_100_cpubusy_rep04,crossover2_initburst_100_cpubusy_kon_rep04,0.224123,0.098278,-0.125845,on,served_first,04
crossover2_initburst_100_cpubusy_rep05,crossover2_initburst_100_cpubusy_koff_rep05,0.163162,0.214937,0.051775,off,served_first,05
crossover2_initburst_100_cpubusy_rep05,crossover2_initburst_100_cpubusy_kon_rep05,0.163162,0.104044,-0.059118,on,served_first,05
crossover2_initburst_100_cpubusy_rep06,crossover2_initburst_100_cpubusy_koff_rep06,0.227031,0.220475,-0.006556,off,served_first,06
crossover2_initburst_100_cpubusy_rep06,crossover2_initburst_100_cpubusy_kon_rep06,0.227031,0.100312,-0.126719,on,served_first,06
crossover2_initburst_100_cpubusy_rep07,crossover2_initburst_100_cpubusy_koff_rep07,0.224288,0.214563,-0.009725,off,served_first,07
crossover2_initburst_100_cpubusy_rep07,crossover2_initburst_100_cpubusy_kon_rep07,0.224288,0.112134,-0.112154,on,served_first,07
crossover2_initburst_100_cpubusy_rep08,crossover2_initburst_100_cpubusy_koff_rep08,0.185124,0.205498,0.020374,off,served_first,08
crossover2_initburst_100_cpubusy_rep08,crossover2_initburst_100_cpubusy_kon_rep08,0.185124,0.113841,-0.071283,on,served_first,08
crossover2_initburst_100_cpubusy_rep09,crossover2_initburst_100_cpubusy_koff_rep09,0.226248,0.209576,-0.016672,off,served_first,09
crossover2_initburst_100_cpubusy_rep09,crossover2_initburst_100_cpubusy_kon_rep09,0.226248,0.110986,-0.115262,on,served_first,09
crossover2_initburst_100_cpubusy_rep10,crossover2_initburst_100_cpubusy_koff_rep10,0.205356,0.207359,0.002003,off,served_first,10
crossover2_initburst_100_cpubusy_rep10,crossover2_initburst_100_cpubusy_kon_rep10,0.205356,0.0984099,-0.106946,on,served_first,10
crossover2_initburst_100_cpuidle_rep01,crossover2_initburst_100_cpuidle_koff_rep01,0.119712,0.132156,0.012444,off,served_first,01
crossover2_initburst_100_cpuidle_rep01,crossover2_initburst_100_cpuidle_kon_rep01,0.119712,0.06005,-0.059662,on,served_first,01
