exp_id,condition,dump_phase,n,cold_n,restore_n,pass_count,fail_count,fail_rate,median_cold_response_s,p95_cold_response_s,median_restore_response_s,p95_restore_response_s,median_cold_ready_s,median_restore_time_s,median_dump_time_s,median_image_size_bytes,median_memory_peak_bytes,median_kdat_probing_s,median_restore_work_s,median_kdat_ratio,oom_count,oom_kill_count,cold_response_s_ci_lo,cold_response_s_ci_hi,restore_response_s_ci_lo,restore_response_s_ci_hi,restore_time_s_ci_lo,restore_time_s_ci_hi,image_size_bytes_ci_lo,image_size_bytes_ci_hi
crossover2_initburst_100_cpubusy,crossover2_initburst_100_cpubusy,NA,10,10,0,10,0,0.000,0.214739,0.226997,NA,NA,NA,NA,NA,NA,1.40773e+09,NA,NA,NA,0,0,0.185124,0.226248,NA,NA,NA,NA,NA,NA
crossover2_initburst_100_cpubusy_koff,crossover2_initburst_100_cpubusy_koff,served_first,10,0,10,10,0,0.000,NA,NA,0.21475,0.234212,NA,0.205185,0.3365,1.1797e+06,1.42359e+09,0.132174,0.0271665,0.6215,0,0,NA,NA,0.209576,0.231,0.201439,0.224356,1.1797e+06,1.17972e+06
crossover2_initburst_100_cpubusy_kon,crossover2_initburst_100_cpubusy_kon,served_first,10,0,10,10,0,0.000,NA,NA,0.107515,0.118887,NA,0.098222,0.1755,1.1797e+06,1.42216e+09,0.007629,0.039835,0.0747,0,0,NA,NA,0.0988889,0.113841,0.0908209,0.106651,1.1756e+06,1.17971e+06
crossover2_initburst_100_cpuidle,crossover2_initburst_100_cpuidle,NA,10,10,0,10,0,0.000,0.120028,0.126863,NA,NA,NA,NA,NA,NA,1.35936e+09,NA,NA,NA,0,0,0.116116,0.123764,NA,NA,NA,NA,NA,NA
crossover2_initburst_100_cpuidle_koff,crossover2_initburst_100_cpuidle_koff,served_first,10,0,10,10,0,0.000,NA,NA,0.134877,0.141655,NA,0.131748,0.174,1.17969e+06,1.37565e+09,0.086475,0.0167685,0.65325,0,0,NA,NA,0.131069,0.139739,0.127911,0.136549,1.1756e+06,1.17971e+06
crossover2_initburst_100_cpuidle_kon,crossover2_initburst_100_cpuidle_kon,served_first,10,0,10,10,0,0.000,NA,NA,0.0633481,0.0720745,NA,0.0599755,0.0965,1.17969e+06,1.37416e+09,0.003293,0.026264,0.0539,0,0,NA,NA,0.06005,0.0703221,0.0569689,0.0672025,1.17765e+06,1.17969e+06
crossover2_initburst_150_cpubusy,crossover2_initburst_150_cpubusy,NA,10,10,0,10,0,0.000,0.325126,0.339821,NA,NA,NA,NA,NA,NA,1.40793e+09,NA,NA,NA,0,0,0.23944,0.331153,NA,NA,NA,NA,NA,NA
crossover2_initburst_150_cpubusy_koff,crossover2_initburst_150_cpubusy_koff,served_first,10,0,10,10,0,0.000,NA,NA,0.205939,0.228125,NA,0.198019,0.3515,1.17969e+06,1.4236e+09,0.124891,0.0281915,0.62165,0,0,NA,NA,0.197747,0.225133,0.191396,0.216929,1.17562e+06,1.1797e+06
crossover2_initburst_150_cpubusy_kon,crossover2_initburst_150_cpubusy_kon,served_first,10,0,10,10,0,0.000,NA,NA,0.104683,0.118526,NA,0.0968769,0.1965,1.17969e+06,1.42226e+09,0.0068475,0.04094,0.075,0,0,NA,NA,0.0992711,0.109368,0.092695,0.0998571,1.17765e+06,1.17971e+06
crossover2_initburst_150_cpuidle,crossover2_initburst_150_cpuidle,NA,10,10,0,10,0,0.000,0.168102,0.179467,NA,NA,NA,NA,NA,NA,1.35942e+09,NA,NA,NA,0,0,0.165988,0.174795,NA,NA,NA,NA,NA,NA
