exp_id,condition,dump_phase,n,cold_n,restore_n,pass_count,fail_count,fail_rate,median_cold_response_s,p95_cold_response_s,median_restore_response_s,p95_restore_response_s,median_cold_ready_s,median_restore_time_s,median_dump_time_s,median_image_size_bytes,median_memory_peak_bytes,median_kdat_probing_s,median_restore_work_s,median_kdat_ratio,oom_count,oom_kill_count,cold_response_s_ci_lo,cold_response_s_ci_hi,restore_response_s_ci_lo,restore_response_s_ci_hi,restore_time_s_ci_lo,restore_time_s_ci_hi,image_size_bytes_ci_lo,image_size_bytes_ci_hi
calib_initburst_iters_it1000,calib_initburst_iters_it1000,NA,1,1,0,1,0,0.000,1.4828,1.4828,NA,NA,NA,NA,NA,NA,1.35906e+09,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
calib_initburst_iters_it1800,calib_initburst_iters_it1800,NA,1,1,0,1,0,0.000,2.62715,2.62715,NA,NA,NA,NA,NA,NA,1.35825e+09,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
calib_initburst_iters_it200,calib_initburst_iters_it200,NA,1,1,0,1,0,0.000,0.312286,0.312286,NA,NA,NA,NA,NA,NA,1.35875e+09,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
calib_initburst_iters_it50,calib_initburst_iters_it50,NA,1,1,0,1,0,0.000,0.093642,0.093642,NA,NA,NA,NA,NA,NA,1.35825e+09,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
calib_initburst_iters_it500,calib_initburst_iters_it500,NA,1,1,0,1,0,0.000,0.741255,0.741255,NA,NA,NA,NA,NA,NA,1.35841e+09,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
dirty_cpubusy,dirty_cpubusy,NA,10,10,0,10,0,0.000,0.127146,0.139565,NA,NA,NA,NA,NA,NA,1.40559e+09,NA,NA,NA,0,0,0.1201,0.135275,NA,NA,NA,NA,NA,NA
dirty_cpubusy_koff,dirty_cpubusy_koff,served_first,10,0,10,10,0,0.000,NA,NA,0.514977,0.534741,NA,0.504383,0.3135,5.25561e+07,1.51955e+09,0.134609,0.32552,0.2669,0,0,NA,NA,0.501523,0.523257,0.493969,0.509945,5.25561e+07,5.25561e+07
dirty_cpubusy_kon,dirty_cpubusy_kon,served_first,10,0,10,10,0,0.000,NA,NA,0.37254,0.386962,NA,0.358719,0.348,5.25561e+07,1.51862e+09,0.0082625,0.3365,0.02285,0,0,NA,NA,0.365142,0.376221,0.356597,0.365285,5.2552e+07,5.25561e+07
dirty_cpuidle,dirty_cpuidle,NA,10,10,0,10,0,0.000,0.0610886,0.0679818,NA,NA,NA,NA,NA,NA,1.3575e+09,NA,NA,NA,0,0,0.0548551,0.0632968,NA,NA,NA,NA,NA,NA
dirty_cpuidle_koff,dirty_cpuidle_koff,served_first,10,0,10,10,0,0.000,NA,NA,0.437196,0.45756,NA,0.432564,0.145,5.25561e+07,1.47149e+09,0.091298,0.315975,0.2097,0,0,NA,NA,0.427396,0.447735,0.421309,0.443158,5.2552e+07,5.25561e+07
dirty_cpuidle_kon,dirty_cpuidle_kon,served_first,10,0,10,10,0,0.000,NA,NA,0.342387,0.349245,NA,0.335788,0.153,5.25561e+07,1.4706e+09,0.0023395,0.325813,0.00695,0,0,NA,NA,0.339755,0.34497,0.332431,0.339135,5.2552e+07,5.25561e+07
initburst_cpubusy,initburst_cpubusy,NA,10,10,0,10,0,0.000,0.330711,0.340498,NA,NA,NA,NA,NA,NA,1.40727e+09,NA,NA,NA,0,0,0.279007,0.338111,NA,NA,NA,NA,NA,NA
initburst_cpubusy_koff,initburst_cpubusy_koff,served_first,10,0,10,10,0,0.000,NA,NA,0.207037,0.221175,NA,0.19768,0.1865,1.17971e+06,1.42236e+09,0.130529,0.0280855,0.6515,0,0,NA,NA,0.201454,0.211168,0.192828,0.202928,1.17766e+06,1.17972e+06
initburst_cpubusy_kon,initburst_cpubusy_kon,served_first,10,0,10,10,0,0.000,NA,NA,0.0757775,0.079581,NA,0.0654114,0.2315,1.17971e+06,1.42111e+09,0.005018,0.0410135,0.077,0,0,NA,NA,0.07093,0.07866,0.0604331,0.0695059,1.17563e+06,1.17972e+06
initburst_cpuidle,initburst_cpuidle,NA,10,10,0,10,0,0.000,0.174515,0.17959,NA,NA,NA,NA,NA,NA,1.35914e+09,NA,NA,NA,0,0,0.165566,0.175756,NA,NA,NA,NA,NA,NA
initburst_cpuidle_koff,initburst_cpuidle_koff,served_first,10,0,10,10,0,0.000,NA,NA,0.136682,0.144512,NA,0.131232,0.1,1.17563e+06,1.37427e+09,0.087848,0.017001,0.6715,0,0,NA,NA,0.131862,0.13946,0.127972,0.135026,1.17562e+06,1.17972e+06
initburst_cpuidle_kon,initburst_cpuidle_kon,served_first,10,0,10,10,0,0.000,NA,NA,0.0401625,0.0432298,NA,0.0353559,0.108,1.17971e+06,1.37308e+09,0.0021945,0.025518,0.06175,0,0,NA,NA,0.0390861,0.0418828,0.033807,0.0369489,1.17767e+06,1.17972e+06
