dataset,exp_id,condition,n,cold_n,restore_n,pass_count,fail_count,fail_rate,median_cold_response_s,p95_cold_response_s,median_restore_response_s,p95_restore_response_s,median_cold_ready_s,median_restore_time_s,median_dump_time_s,median_image_size_bytes,median_memory_peak_bytes,median_kdat_probing_s,median_restore_work_s,median_kdat_ratio,oom_count,oom_kill_count,cold_response_s_ci_lo,cold_response_s_ci_hi,restore_response_s_ci_lo,restore_response_s_ci_hi,restore_time_s_ci_lo,restore_time_s_ci_hi,image_size_bytes_ci_lo,image_size_bytes_ci_hi
broad,P0_smoke_tv_busy_mem_cpu,P0_compute,2,1,1,2,0,0.000,0.371928,0.371928,0.120768,0.120768,0.345651,0.0852146,0.128,1.68544e+07,1.32322e+09,0.049265,0.015924,0.5781,0,0,NA,NA,NA,NA,NA,NA,NA,NA
broad,P0_smoke_tv_busy_mem_cpu,P0_mem,2,1,1,2,0,0.000,0.110654,0.110654,0.954556,0.954556,0.0862968,0.912015,1.333,1.34291e+08,1.5014e+09,0.074275,0.814927,0.0814,0,0,NA,NA,NA,NA,NA,NA,NA,NA
broad,P0_smoke_tv_busy_mem_cpu,P0_simple,2,1,1,2,0,0.000,NA,NA,NA,NA,0.0523391,0.120704,0.163,5.25519e+07,1.3771e+09,0.061337,0.034735,0.5082,0,0,NA,NA,NA,NA,NA,NA,NA,NA
broad,P1_memory_sweep_tv_busy_mem_cpu,P1_mem_128M,20,10,10,20,0,0.000,0.117084,0.125092,0.873317,0.96504,0.0902688,0.824202,1.375,1.34291e+08,1.50162e+09,0.0663225,0.726013,0.07795,0,0,0.11008,0.122618,0.769984,0.956227,0.729615,0.911524,1.34291e+08,1.34295e+08
broad,P1_memory_sweep_tv_busy_mem_cpu,P1_mem_256M,20,10,10,20,0,0.000,0.16531,0.189115,1.85203,1.86939,0.141478,1.80967,4.4495,2.6851e+08,1.69523e+09,0.069241,1.72189,0.03815,0,0,0.150599,0.179222,1.77829,1.85998,1.73835,1.8202,2.6851e+08,2.68514e+08
broad,P1_memory_sweep_tv_busy_mem_cpu,P1_mem_384M,20,10,10,20,0,0.000,0.242519,0.249677,2.67752,2.69179,0.215069,2.62782,7.523,4.02732e+08,1.76257e+09,0.066325,2.53738,0.02525,0,0,0.214401,0.245054,2.67207,2.68131,2.62213,2.6344,4.02728e+08,4.02732e+08
broad,P1_memory_sweep_tv_busy_mem_cpu,P1_mem_512M,20,10,10,0,20,1.000,NA,NA,NA,NA,NA,NA,NA,NA,1.82452e+09,NA,NA,NA,20,20,NA,NA,NA,NA,NA,NA,NA,NA
broad,P2_compute_calibration_tv_busy_mem_cpu,P2cal_it120_cold,1,1,0,1,0,0.000,0.945592,0.945592,NA,NA,0.914856,NA,NA,NA,1.31369e+09,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
broad,P2_compute_calibration_tv_busy_mem_cpu,P2cal_it20_cold,1,1,0,1,0,0.000,0.261004,0.261004,NA,NA,0.234492,NA,NA,NA,1.31377e+09,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
broad,P2_compute_calibration_tv_busy_mem_cpu,P2cal_it60_cold,1,1,0,1,0,0.000,0.543438,0.543438,NA,NA,0.515472,NA,NA,NA,1.3134e+09,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
broad,P2_compute_sweep_tv_busy_mem_cpu,P2_compute_high,20,10,10,20,0,0.000,0.772337,0.851448,0.153377,0.159341,0.746109,0.111765,0.129,1.68544e+07,1.32325e+09,0.071863,0.013956,0.64375,0,0,0.702354,0.819632,0.129157,0.155935,0.0905597,0.115536,1.68544e+07,1.68585e+07
broad,P2_compute_sweep_tv_busy_mem_cpu,P2_compute_low,20,10,10,20,0,0.000,0.110068,0.116175,0.143323,0.163668,0.0839342,0.106592,0.1325,1.68544e+07,1.32333e+09,0.0661295,0.014146,0.66485,0,0,0.102296,0.113489,0.132918,0.153579,0.0967023,0.113746,1.68544e+07,1.68565e+07
broad,P2_compute_sweep_tv_busy_mem_cpu,P2_compute_mid,20,10,10,20,0,0.000,0.391683,0.406246,0.150373,0.161462,0.362847,0.113003,0.131,1.68544e+07,1.32344e+09,0.0697965,0.014116,0.629,0,0,0.326917,0.399694,0.142848,0.155266,0.106141,0.117038,1.68544e+07,1.68585e+07
broad,P3_dirty_timing_tv_busy_mem_cpu,P3_dirty_ckpt10s,3,0,3,3,0,0.000,NA,NA,1.85927,1.86822,NA,1.82245,4.521,2.6851e+08,1.82452e+09,0.066299,1.72589,0.0364,0,0,NA,NA,1.85208,1.86921,1.80849,1.82601,2.6851e+08,2.68514e+08
broad,P3_dirty_timing_tv_busy_mem_cpu,P3_dirty_ckpt1s,3,0,3,3,0,0.000,NA,NA,1.84379,1.85693,NA,1.80124,4.413,2.6851e+08,1.82452e+09,0.054303,1.72489,0.0318,0,0,NA,NA,1.74825,1.85839,1.70831,1.81949,2.6851e+08,2.6851e+08
broad,P3_dirty_timing_tv_busy_mem_cpu,P3_dirty_ckpt5s,3,0,3,3,0,0.000,NA,NA,1.83951,1.85438,NA,1.80191,4.482,2.6851e+08,1.82452e+09,0.064278,1.72488,0.0371,0,0,NA,NA,1.77483,1.85603,1.73098,1.8197,2.6851e+08,2.68514e+08
broad,P3_grow_timing_tv_busy_mem_cpu,P3_grow_ckpt10s,3,0,3,3,0,0.000,NA,NA,2.15925,2.16105,NA,2.11404,5.534,3.16376e+08,1.82452e+09,0.066207,2.02988,0.0313,0,0,NA,NA,2.08012,2.16125,2.02422,2.11808,3.02064e+08,3.18846e+08
broad,P3_grow_timing_tv_busy_mem_cpu,P3_grow_ckpt1s,3,0,3,3,0,0.000,NA,NA,1.15425,1.17007,NA,1.11285,2.17,1.6785e+08,1.66803e+09,0.069318,1.01895,0.0623,0,0,NA,NA,1.13017,1.17183,1.09453,1.13092,1.67846e+08,1.6785e+08
broad,P3_grow_timing_tv_busy_mem_cpu,P3_grow_ckpt5s,3,0,3,3,0,0.000,NA,NA,1.56657,1.56865,NA,1.52385,3.728,2.34955e+08,1.80262e+09,0.0623,1.43492,0.0409,0,0,NA,NA,1.55546,1.56888,1.51213,1.53497,2.34955e+08,2.34955e+08
broad,P4_cpu_saturation_ablation_tv_mem_only,P4_compute_high,20,10,10,20,0,0.000,0.536838,0.545494,0.221643,0.239625,0.511244,0.100936,0.089,1.68544e+07,1.27494e+09,0.0510595,0.0165705,0.4867,0,0,0.531341,0.541036,0.21648,0.235619,0.0935912,0.106786,1.68544e+07,1.68544e+07
broad,P4_cpu_saturation_ablation_tv_mem_only,P4_mem256,20,10,10,20,0,0.000,0.11937,0.126647,1.86712,1.95143,0.095783,1.73199,4.2325,2.6851e+08,1.65662e+09,0.0499,1.64109,0.0289,0,0,0.112731,0.125193,1.81141,1.91446,1.7127,1.77162,2.6851e+08,2.68512e+08
broad,P5_storage_ablation_fast,P5_mem256,20,10,10,20,0,0.000,0.153909,0.173653,0.367416,0.383978,0.123203,0.325001,4.4185,2.6851e+08,1.6952e+09,0.068352,0.230773,0.2088,0,0,0.144556,0.165159,0.341952,0.379107,0.299412,0.339974,2.6851e+08,2.68512e+08
subset,V1_memory_256M_slow_pressure_bound_cache_instrumented,V1_memory_256M_slow,20,10,10,20,0,0.000,0.221667,0.24302,1.93941,1.95197,0.162624,1.88169,4.5385,2.6851e+08,1.69621e+09,0.100311,1.72698,0.05345,0,0,0.196238,0.235045,1.93409,1.94647,1.87612,1.8893,2.6851e+08,2.68514e+08
subset,V2_memory_256M_fast_pressure_bound_cache_instrumented,V2_memory_256M_fast,20,10,10,20,0,0.000,0.195152,0.229916,0.446256,0.479352,0.129818,0.386302,3.3225,2.6851e+08,1.69595e+09,0.099882,0.235771,0.2531,0,0,0.181702,0.213272,0.400679,0.470483,0.345026,0.412683,2.6851e+08,2.68512e+08
subset,V3_memory_128M_slow_pressure_bound_cache_instrumented,V3_memory_128M_slow,20,10,10,20,0,0.000,0.17051,0.197598,1.03907,1.0528,0.102402,0.970813,1.427,1.34291e+08,1.56104e+09,0.10349,0.81771,0.10685,0,0,0.16177,0.184816,1.02398,1.05085,0.965537,0.973799,1.34291e+08,1.34293e+08
subset,V4_memory_384M_slow_pressure_bound_cache_instrumented,V4_memory_384M_slow,20,10,10,20,0,0.000,0.266558,0.359652,2.76215,2.78902,0.189839,2.69144,7.541,4.0273e+08,1.76293e+09,0.102676,2.54099,0.03815,0,0,0.234288,0.316194,2.74767,2.77935,2.68235,2.70474,4.02728e+08,4.02732e+08
subset,V5_compute_high_pressure_bound_cache_instrumented,V5_compute_high,20,10,10,20,0,0.000,0.915434,1.0348,0.332564,0.347115,0.834543,0.264002,0.195,1.68544e+07,1.33427e+09,0.108836,0.108439,0.4032,0,0,0.81685,1.00053,0.320032,0.338567,0.257827,0.272607,1.68544e+07,1.68585e+07
