exp_id,repeat_id,run_id,runner,timestamp,result,fail_reason,memory_max,memory_swap_max,cpu_bandwidth,cpuset_cpus,storage_enabled,storage_rbps,storage_wbps,storage_delay_enabled,storage_delay_read_ms,storage_delay_write_ms,stress_enabled,stress_vm_workers,stress_vm_bytes,stress_cpu_saturate,workload,target_bytes,dynamic_mode,dynamic_dirty_bytes,dynamic_interval_ms,dynamic_init_work_ms,compute_iters,compute_ms,workload_port,kdat_cache,checkpoint_after_s,restore_gap_s,cold_response_s,restore_response_s,cold_ready_s,restore_time_s,dump_time_s,kdat_probing_s,restore_work_s,launch_overhead_s,kdat_ratio,cold_launch_s,task_visible_s,image_size_bytes,memory_current_before,memory_current_after_stress,memory_peak_bytes,oom,oom_kill,generic_recovery,storage_capacity,kernel_version,criu_dump_log,criu_restore_log,target_log,cache_policy,drop_caches_rc,drop_caches_ts,probe_interval_ms,probe_timeout_s,probe_attempts,first_success_attempt,restore_peak_current,cpu_freq_khz,meminfo_after_drop_caches_buffers_kb,meminfo_after_drop_caches_cached_kb,meminfo_after_drop_caches_dirty_kb,meminfo_after_drop_caches_sreclaimable_kb,meminfo_after_drop_caches_writeback_kb,meminfo_before_drop_caches_buffers_kb,meminfo_before_drop_caches_cached_kb,meminfo_before_drop_caches_dirty_kb,meminfo_before_drop_caches_sreclaimable_kb,meminfo_before_drop_caches_writeback_kb,memstat_after_drop_caches_anon,memstat_after_drop_caches_current,memstat_after_drop_caches_file,memstat_after_drop_caches_kernel,memstat_after_drop_caches_peak,memstat_after_drop_caches_slab_reclaimable,memstat_after_drop_caches_ts,memstat_after_response_anon,memstat_after_response_current,memstat_after_response_file,memstat_after_response_kernel,memstat_after_response_peak,memstat_after_response_slab_reclaimable,memstat_after_response_ts,memstat_after_restore_anon,memstat_after_restore_current,memstat_after_restore_file,memstat_after_restore_kernel,memstat_after_restore_peak,memstat_after_restore_slab_reclaimable,memstat_after_restore_ts,memstat_after_stress_warmup_anon,memstat_after_stress_warmup_current,memstat_after_stress_warmup_file,memstat_after_stress_warmup_kernel,memstat_after_stress_warmup_peak,memstat_after_stress_warmup_slab_reclaimable,memstat_after_stress_warmup_ts,memstat_before_drop_caches_anon,memstat_before_drop_caches_current,memstat_before_drop_caches_file,memstat_before_drop_caches_kernel,memstat_before_drop_caches_peak,memstat_before_drop_caches_slab_reclaimable,memstat_before_drop_caches_ts,memstat_before_restore_anon,memstat_before_restore_current,memstat_before_restore_file,memstat_before_restore_kernel,memstat_before_restore_peak,memstat_before_restore_slab_reclaimable,memstat_before_restore_ts,memstat_before_stress_anon,memstat_before_stress_current,memstat_before_stress_file,memstat_before_stress_kernel,memstat_before_stress_peak,memstat_before_stress_slab_reclaimable,memstat_before_stress_ts
calib,1,calib_it1000,cold,2026-07-01T17:18:03+00:00,PASS,NA,1708M,0,4.0,0-3,true,150M,50M,true,1,3,true,29,46137344,false,target_compute,1048576,dirty,4194304,1000,0,1000,1435,18080,NA,NA,NA,1.4785,NA,1.46574,NA,NA,NA,NA,NA,NA,0.0327187,NA,NA,0,1361260544,1361629184,0,0,NA,1G,6.8.0-85-generic,NA,NA,/root/Embed-sim-lab/testbed/runs/calib_it1000/cold_start_target.log,best_effort_cold_cache,0,1782926288.120103902,5,0.300,1,1,NA,1235000,32,1817464,776,479188,0,72,1912104,7328,479940,0,229253120,1357811712,1106833408,21495808,1361629184,2709792,1782926288.186078478,230363136,1360756736,1108586496,21561344,1361629184,2720928,1782926289.738155278,NA,NA,NA,NA,NA,NA,NA,229253120,1361260544,1108967424,22810624,1361629184,4024816,1782926287.981453647,229253120,1361260544,1108967424,22810624,1361629184,4024816,1782926288.030756421,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1782926284.639536746
calib,1,calib_it1800,cold,2026-07-01T17:18:12+00:00,PASS,NA,1708M,0,4.0,0-3,true,150M,50M,true,1,3,true,29,46137344,false,target_compute,1048576,dirty,4194304,1000,0,1800,2579,18080,NA,NA,NA,2.61124,NA,2.59908,NA,NA,NA,NA,NA,NA,0.0178068,NA,NA,0,1361719296,1362042880,0,0,NA,1G,6.8.0-85-generic,NA,NA,/root/Embed-sim-lab/testbed/runs/calib_it1800/cold_start_target.log,best_effort_cold_cache,0,1782926297.026329371,5,0.300,1,1,NA,1235000,32,1823840,1108,479484,236,72,1905940,14600,480044,0,229257216,1357873152,1106808832,21618688,1362042880,2711304,1782926297.077414673,230367232,1360629760,1108561920,21692416,1362042880,2722440,1782926299.727256375,NA,NA,NA,NA,NA,NA,NA,229257216,1361719296,1109381120,22892544,1362042880,3978456,1782926296.910581274,229257216,1361719296,1109381120,22892544,1362042880,3978456,1782926296.958472452,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1782926293.684304067
calib,1,calib_it200,cold,2026-07-01T17:17:48+00:00,PASS,NA,1708M,0,4.0,0-3,true,150M,50M,true,1,3,true,29,46137344,false,target_compute,1048576,dirty,4194304,1000,0,200,287,18080,NA,NA,NA,0.320181,NA,0.30806,NA,NA,NA,NA,NA,NA,0.0243356,NA,NA,0,1362186240,1362845696,0,0,NA,1G,6.8.0-85-generic,NA,NA,/root/Embed-sim-lab/testbed/runs/calib_it200/cold_start_target.log,best_effort_cold_cache,0,1782926272.491401153,5,0.300,1,1,NA,1235000,32,1816252,804,479228,0,72,1918396,14436,479772,0,229269504,1357815808,1106984960,21561344,1362845696,2713016,1782926272.562253015,230375424,1360756736,1108738048,21630976,1362845696,2722312,1782926272.942942468,NA,NA,NA,NA,NA,NA,NA,229269504,1362186240,1109991424,22925312,1362845696,4071064,1782926272.340514127,229269504,1362186240,1109991424,22925312,1362845696,4071064,1782926272.390437529,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1782926269.017558641
calib,1,calib_it50,cold,2026-07-01T17:17:40+00:00,PASS,NA,1708M,0,4.0,0-3,true,150M,50M,true,1,3,true,29,46137344,false,target_compute,1048576,dirty,4194304,1000,0,50,72,18080,NA,NA,NA,0.112675,NA,0.108126,NA,NA,NA,NA,NA,NA,0.0346401,NA,NA,0,1354379264,1355530240,0,0,NA,1G,6.8.0-85-generic,NA,NA,/root/Embed-sim-lab/testbed/runs/calib_it50/cold_start_target.log,best_effort_cold_cache,0,1782926264.452554528,5,0.300,1,1,NA,1235000,32,1816268,728,479508,0,72,1928536,7056,480004,0,229224448,1352327168,1102290944,22704128,1354641408,3892416,1782926264.527848353,230334464,1355264000,1103241216,21532672,1355530240,2660112,1782926264.700533439,NA,NA,NA,NA,NA,NA,NA,229224448,1354379264,1102290944,22704128,1354641408,3892416,1782926264.307812239,229224448,1354379264,1102290944,22704128,1354641408,3892416,1782926264.358776882,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1782926261.093152369
calib,1,calib_it500,cold,2026-07-01T17:17:56+00:00,PASS,NA,1708M,0,4.0,0-3,true,150M,50M,true,1,3,true,29,46137344,false,target_compute,1048576,dirty,4194304,1000,0,500,718,18080,NA,NA,NA,0.755925,NA,0.75267,NA,NA,NA,NA,NA,NA,0.0338948,NA,NA,0,1362063360,1362329600,0,0,NA,1G,6.8.0-85-generic,NA,NA,/root/Embed-sim-lab/testbed/runs/calib_it500/cold_start_target.log,best_effort_cold_cache,0,1782926279.915549726,5,0.300,1,1,NA,1235000,36,1816776,584,479308,0,72,1902052,1052,479900,0,229257216,1357754368,1106898944,21512192,1362329600,2713936,1782926279.978140016,230367232,1360613376,1108656128,21585920,1362329600,2725520,1782926280.785468491,NA,NA,NA,NA,NA,NA,NA,229257216,1362063360,1109659648,22872064,1362329600,4067768,1782926279.857429408,229257216,1361874944,1109659648,22872064,1362329600,4067768,1782926279.885841257,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1782926276.566644571
dirty_sweep_cpubusy,1,dirty_30M_cpubusy_koff_rep01_restore,once,2026-07-01T17:19:34+00:00,PASS,NA,1708M,0,4.0,0-3,true,150M,50M,true,1,3,true,29,45124925,true,target_memory,31457280,dirty,4194304,1000,0,100,NA,18080,off,1.0,2.0,NA,0.415058,NA,0.409079,0.365,0.12778,0.208235,0.073064,0.3124,NA,0.200913,31530449,0,1381715968,1479852032,0,0,yes,1G,6.8.0-85-generic,/root/Embed-sim-lab/testbed/runs/dirty_30M_cpubusy_koff_rep01_restore/dump.log,/root/Embed-sim-lab/testbed/runs/dirty_30M_cpubusy_koff_rep01_restore/restore.log,/root/Embed-sim-lab/testbed/runs/dirty_30M_cpubusy_koff_rep01_restore/target.log,best_effort_cold_cache,0,1782926383.302740867,5,0.300,1,1,1479450624,1235000,32,1854180,776,479376,240,84,1990688,45224,481000,0,208728064,1377546240,1145266176,22876160,1454747648,2813632,1782926383.365614753,NA,NA,NA,NA,NA,NA,NA,242110464,1479606272,1213325312,23662592,1479852032,3208880,1782926383.869763998,208728064,1381715968,1148227584,24182784,1381715968,4108840,1782926378.896308450,208728064,1421471744,1186783232,25276416,1454747648,5209672,1782926382.631817478,208728064,1377546240,1145266176,22876160,1454747648,2813632,1782926383.437946616,0,0,0,0,0,0,1782926375.664146674
dirty_sweep_cpubusy,2,dirty_30M_cpubusy_koff_rep02_restore,once,2026-07-01T17:19:47+00:00,PASS,NA,1708M,0,4.0,0-3,true,150M,50M,true,1,3,true,29,45124925,true,target_memory,31457280,dirty,4194304,1000,0,100,NA,18080,off,1.0,2.0,NA,0.418223,NA,0.413457,0.305,0.12965,0.214177,0.06963,0.3136,NA,0.20129,31530431,0,1381105664,1479507968,0,0,yes,1G,6.8.0-85-generic,/root/Embed-sim-lab/testbed/runs/dirty_30M_cpubusy_koff_rep02_restore/dump.log,/root/Embed-sim-lab/testbed/runs/dirty_30M_cpubusy_koff_rep02_restore/restore.log,/root/Embed-sim-lab/testbed/runs/dirty_30M_cpubusy_koff_rep02_restore/target.log,best_effort_cold_cache,0,1782926395.507663682,5,0.300,1,1,1479106560,1235000,32,1854304,656,479188,0,84,1993100,45308,480912,0,208748544,1377210368,1145180160,22761472,1454370816,2808504,1782926395.569325444,NA,NA,NA,NA,NA,NA,NA,242126848,1479262208,1213239296,23552000,1479507968,3208896,1782926396.071534824,208748544,1381105664,1147990016,24059904,1381105664,4100104,1782926391.166377003,208748544,1420976128,1186545664,25153536,1454370816,5202432,1782926394.848931911,208748544,1377210368,1145180160,22761472,1454370816,2808504,1782926395.638647166,0,0,0,0,0,0,1782926388.055286785
dirty_sweep_cpubusy,3,dirty_30M_cpubusy_koff_rep03_restore,once,2026-07-01T17:19:59+00:00,PASS,NA,1708M,0,4.0,0-3,true,150M,50M,true,1,3,true,29,45124925,true,target_memory,31457280,dirty,4194304,1000,0,100,NA,18080,off,1.0,2.0,NA,0.401406,NA,0.394241,0.338,0.125342,0.206292,0.062607,0.3179,NA,0.192229,31534527,0,1380552704,1479704576,0,0,yes,1G,6.8.0-85-generic,/root/Embed-sim-lab/testbed/runs/dirty_30M_cpubusy_koff_rep03_restore/dump.log,/root/Embed-sim-lab/testbed/runs/dirty_30M_cpubusy_koff_rep03_restore/restore.log,/root/Embed-sim-lab/testbed/runs/dirty_30M_cpubusy_koff_rep03_restore/target.log,best_effort_cold_cache,0,1782926407.700391894,5,0.300,1,1,1479397376,1235000,32,1854988,80,479504,4,84,1991284,45228,480972,0,208744448,1376866304,1145221120,22736896,1453424640,2810048,1782926407.762065697,NA,NA,NA,NA,NA,NA,NA,242130944,1479442432,1213284352,23523328,1479602176,3207968,1782926408.251641817,208744448,1380552704,1147465728,24031232,1380552704,4090304,1782926403.315867939,208744448,1420062720,1186025472,25128960,1453424640,5197448,1782926407.043340085,208744448,1376866304,1145221120,22736896,1453424640,2810048,1782926407.834632947,0,0,0,0,0,0,1782926400.207040867
dirty_sweep_cpubusy,4,dirty_30M_cpubusy_koff_rep04_restore,once,2026-07-01T17:20:11+00:00,PASS,NA,1708M,0,4.0,0-3,true,150M,50M,true,1,3,true,29,45124925,true,target_memory,31457280,dirty,4194304,1000,0,100,NA,18080,off,1.0,2.0,NA,0.427892,NA,0.422958,0.367,0.137008,0.21224,0.07371,0.3239,NA,0.208799,31530449,0,1381302272,1479446528,0,0,yes,1G,6.8.0-85-generic,/root/Embed-sim-lab/testbed/runs/dirty_30M_cpubusy_koff_rep04_restore/dump.log,/root/Embed-sim-lab/testbed/runs/dirty_30M_cpubusy_koff_rep04_restore/restore.log,/root/Embed-sim-lab/testbed/runs/dirty_30M_cpubusy_koff_rep04_restore/target.log,best_effort_cold_cache,0,1782926419.718688351,5,0.300,1,1,1479041024,1235000,32,1854592,496,479404,0,84,1992156,45220,480916,0,208736256,1377144832,1145114624,24272896,1454362624,4312352,1782926419.790824789,NA,NA,NA,NA,NA,NA,NA,242118656,1479200768,1213173760,23564288,1479446528,3213168,1782926420.309137943,208736256,1381302272,1147932672,24064000,1381302272,4103696,1782926415.295844128,208736256,1420926976,1186488320,25165824,1454362624,5205680,1782926419.055460349,208736256,1377144832,1145114624,24272896,1454362624,4312352,1782926419.866045052,0,0,0,0,0,0,1782926412.168417320
dirty_sweep_cpubusy,5,dirty_30M_cpubusy_koff_rep05_restore,once,2026-07-01T17:20:23+00:00,PASS,NA,1708M,0,4.0,0-3,true,150M,50M,true,1,3,true,29,45124925,true,target_memory,31457280,dirty,4194304,1000,0,100,NA,18080,off,1.0,2.0,NA,0.44187,NA,0.436397,0.320,0.15508,0.209274,0.072043,0.3554,NA,0.229874,31534527,0,1380839424,1479376896,0,0,yes,1G,6.8.0-85-generic,/root/Embed-sim-lab/testbed/runs/dirty_30M_cpubusy_koff_rep05_restore/dump.log,/root/Embed-sim-lab/testbed/runs/dirty_30M_cpubusy_koff_rep05_restore/restore.log,/root/Embed-sim-lab/testbed/runs/dirty_30M_cpubusy_koff_rep05_restore/target.log,best_effort_cold_cache,0,1782926431.509751130,5,0.300,1,1,1478975488,1235000,32,1862696,792,479216,0,84,1993840,45224,480748,0,208715776,1377120256,1145208832,22872064,1453772800,2812408,1782926431.572677360,NA,NA,NA,NA,NA,NA,NA,242098176,1479135232,1213231104,23650304,1479376896,3206424,1782926432.104138302,208715776,1380839424,1147424768,24211456,1380839424,4150232,1782926427.130189517,208715776,1420341248,1185984512,25309184,1453772800,5250056,1782926430.843906627,208715776,1377120256,1145208832,22872064,1453772800,2812408,1782926431.646830432,0,0,0,0,0,0,1782926424.145417705
