exp_id,condition,n,cold_n,restore_n,pass_count,fail_count,fail_rate,median_cold_response_s,p95_cold_response_s,median_restore_response_s,p95_restore_response_s,median_cold_ready_s,median_restore_time_s,median_dump_time_s,median_image_size_bytes,median_memory_peak_bytes,median_kdat_probing_s,median_restore_work_s,median_kdat_ratio,oom_count,oom_kill_count,cold_response_s_ci_lo,cold_response_s_ci_hi,restore_response_s_ci_lo,restore_response_s_ci_hi,restore_time_s_ci_lo,restore_time_s_ci_hi,image_size_bytes_ci_lo,image_size_bytes_ci_hi
calib,calib_it1000,1,1,0,1,0,0.000,1.4785,1.4785,NA,NA,1.46574,NA,NA,NA,1.36163e+09,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
calib,calib_it1800,1,1,0,1,0,0.000,2.61124,2.61124,NA,NA,2.59908,NA,NA,NA,1.36204e+09,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
calib,calib_it200,1,1,0,1,0,0.000,0.320181,0.320181,NA,NA,0.30806,NA,NA,NA,1.36285e+09,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
calib,calib_it50,1,1,0,1,0,0.000,0.112675,0.112675,NA,NA,0.108126,NA,NA,NA,1.35553e+09,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
calib,calib_it500,1,1,0,1,0,0.000,0.755925,0.755925,NA,NA,0.75267,NA,NA,NA,1.36233e+09,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA
dirty_sweep_cpubusy,dirty_30M_cpubusy,10,10,0,10,0,0.000,0.0930151,0.098612,NA,NA,0.0882499,NA,NA,NA,1.41082e+09,NA,NA,NA,0,0,0.0881542,0.097125,NA,NA,NA,NA,NA,NA
dirty_sweep_cpubusy,dirty_30M_cpubusy_koff,10,0,10,10,0,0.000,NA,NA,0.418901,0.437703,NA,0.413602,0.329,3.15304e+07,1.47948e+09,0.134449,0.208755,0.32555,0,0,NA,NA,0.407255,0.42851,0.40223,0.422958,3.15304e+07,3.15345e+07
dirty_sweep_cpubusy,dirty_30M_cpubusy_kon,10,0,10,10,0,0.000,NA,NA,0.273122,0.284363,NA,0.26756,0.347,3.15304e+07,1.47162e+09,0.0082875,0.223521,0.0306,0,0,NA,NA,0.270577,0.281669,0.26425,0.276269,3.15304e+07,3.15345e+07
dirty_sweep_cpubusy,dirty_40M_cpubusy,10,10,0,10,0,0.000,0.10855,0.116247,NA,NA,0.103481,NA,NA,NA,1.41087e+09,NA,NA,NA,0,0,0.105355,0.113959,NA,NA,NA,NA,NA,NA
dirty_sweep_cpubusy,dirty_40M_cpubusy_koff,10,0,10,10,0,0.000,NA,NA,0.443611,0.46339,NA,0.43807,0.386,4.20162e+07,1.49946e+09,0.13673,0.238238,0.3123,0,0,NA,NA,0.438331,0.458312,0.432458,0.451986,4.20162e+07,4.20183e+07
dirty_sweep_cpubusy,dirty_40M_cpubusy_kon,10,0,10,10,0,0.000,NA,NA,0.300528,0.310184,NA,0.294802,0.3845,4.20162e+07,1.49165e+09,0.008197,0.251082,0.0276,0,0,NA,NA,0.297712,0.304498,0.291144,0.296855,4.20162e+07,4.20203e+07
dirty_sweep_cpubusy,dirty_50M_cpubusy,10,10,0,10,0,0.000,0.128976,0.135742,NA,NA,0.124935,NA,NA,NA,1.41086e+09,NA,NA,NA,0,0,0.114269,0.133304,NA,NA,NA,NA,NA,NA
dirty_sweep_cpubusy,dirty_50M_cpubusy_koff,10,0,10,10,0,0.000,NA,NA,0.53537,0.543538,NA,0.529265,0.4245,5.25041e+07,1.518e+09,0.13751,0.322176,0.26285,0,0,NA,NA,0.525995,0.5393,0.520576,0.532822,5.2502e+07,5.25061e+07
dirty_sweep_cpubusy,dirty_50M_cpubusy_kon,10,0,10,10,0,0.000,NA,NA,0.38761,0.40146,NA,0.382261,0.39,5.25021e+07,1.51012e+09,0.0051865,0.338494,0.01385,0,0,NA,NA,0.383777,0.398588,0.376615,0.392803,5.2502e+07,5.25061e+07
dirty_sweep_cpubusy,dirty_60M_cpubusy,10,10,0,10,0,0.000,0.121591,0.146701,NA,NA,0.11564,NA,NA,NA,1.41076e+09,NA,NA,NA,0,0,0.115841,0.132916,NA,NA,NA,NA,NA,NA
dirty_sweep_cpubusy,dirty_60M_cpubusy_koff,10,0,10,10,0,0.000,NA,NA,0.621743,0.960534,NA,0.616337,0.5125,6.29879e+07,1.53728e+09,0.132653,0.409014,0.21345,0,0,NA,NA,0.61122,0.637927,0.605056,0.633142,6.29879e+07,6.29899e+07
dirty_sweep_cpubusy,dirty_60M_cpubusy_kon,10,0,10,10,0,0.000,NA,NA,0.476998,0.49124,NA,0.470768,0.524,6.29879e+07,1.52961e+09,0.005751,0.426497,0.0122,0,0,NA,NA,0.472059,0.483573,0.466079,0.477622,6.29879e+07,6.2992e+07
dirty_sweep_cpubusy,dirty_70M_cpubusy,10,10,0,10,0,0.000,0.13369,0.176474,NA,NA,0.129751,NA,NA,NA,1.41076e+09,NA,NA,NA,0,0,0.12257,0.168648,NA,NA,NA,NA,NA,NA
dirty_sweep_cpubusy,dirty_70M_cpubusy_koff,10,0,10,10,0,0.000,NA,NA,0.650969,0.659784,NA,0.64554,0.6045,7.34737e+07,1.55713e+09,0.137085,0.43734,0.21525,0,0,NA,NA,0.644011,0.657454,0.638295,0.650135,7.34737e+07,7.34757e+07
dirty_sweep_cpubusy,dirty_70M_cpubusy_kon,10,0,10,10,0,0.000,NA,NA,0.505807,0.517799,NA,0.499631,0.6055,7.34737e+07,1.54906e+09,0.005147,0.455542,0.01025,0,0,NA,NA,0.496515,0.511983,0.491216,0.50634,7.34737e+07,7.34778e+07
dirty_sweep_cpuidle,dirty_30M_cpuidle,10,10,0,10,0,0.000,0.0540723,0.0668316,NA,NA,0.0480672,NA,NA,NA,1.36207e+09,NA,NA,NA,0,0,0.0514958,0.0628734,NA,NA,NA,NA,NA,NA
dirty_sweep_cpuidle,dirty_30M_cpuidle_koff,10,0,10,10,0,0.000,NA,NA,0.399295,0.420745,NA,0.382417,0.1785,3.15325e+07,1.4314e+09,0.099922,0.206637,0.26425,0,0,NA,NA,0.374695,0.404146,0.355465,0.387223,3.15304e+07,3.15345e+07
dirty_sweep_cpuidle,dirty_30M_cpuidle_kon,10,0,10,10,0,0.000,NA,NA,0.278011,0.293201,NA,0.261911,0.1755,3.15304e+07,1.42307e+09,0.0024855,0.221172,0.00925,0,0,NA,NA,0.272367,0.286154,0.25819,0.269846,3.15304e+07,3.15345e+07
dirty_sweep_cpuidle,dirty_40M_cpuidle,10,10,0,10,0,0.000,0.06771,0.0750102,NA,NA,0.0614072,NA,NA,NA,1.3622e+09,NA,NA,NA,0,0,0.0586779,0.0720326,NA,NA,NA,NA,NA,NA
dirty_sweep_cpuidle,dirty_40M_cpuidle_koff,10,0,10,10,0,0.000,NA,NA,0.396495,0.420105,NA,0.385496,0.184,4.20163e+07,1.45089e+09,0.098472,0.220964,0.2558,0,0,NA,NA,0.389736,0.415061,0.371842,0.398458,4.20162e+07,4.20183e+07
dirty_sweep_cpuidle,dirty_40M_cpuidle_kon,10,0,10,10,0,0.000,NA,NA,0.30041,0.321335,NA,0.282959,0.184,4.20203e+07,1.4431e+09,0.0022855,0.233552,0.0078,0,0,NA,NA,0.289197,0.310747,0.272219,0.292036,4.20163e+07,4.20204e+07
dirty_sweep_cpuidle,dirty_50M_cpuidle,10,10,0,10,0,0.000,0.0735699,0.07735,NA,NA,0.0689262,NA,NA,NA,1.36216e+09,NA,NA,NA,0,0,0.0653038,0.075627,NA,NA,NA,NA,NA,NA
dirty_sweep_cpuidle,dirty_50M_cpuidle_koff,10,0,10,10,0,0.000,NA,NA,0.507171,0.520517,NA,0.48976,0.1925,5.25021e+07,1.46979e+09,0.101145,0.313918,0.20815,0,0,NA,NA,0.498616,0.516586,0.480729,0.49793,5.2502e+07,5.25041e+07
dirty_sweep_cpuidle,dirty_50M_cpuidle_kon,10,0,10,10,0,0.000,NA,NA,0.397361,0.405904,NA,0.38225,0.194,5.25021e+07,1.46145e+09,0.002538,0.331477,0.0066,0,0,NA,NA,0.391018,0.401874,0.375033,0.385988,5.2502e+07,5.25061e+07
dirty_sweep_cpuidle,dirty_60M_cpuidle,10,10,0,10,0,0.000,0.0823783,0.0934833,NA,NA,0.0779011,NA,NA,NA,1.36206e+09,NA,NA,NA,0,0,0.0714817,0.0899115,NA,NA,NA,NA,NA,NA
dirty_sweep_cpuidle,dirty_60M_cpuidle_koff,10,0,10,10,0,0.000,NA,NA,0.609074,0.628144,NA,0.590755,0.1965,6.29879e+07,1.48891e+09,0.104681,0.409813,0.179,0,0,NA,NA,0.587948,0.618633,0.574847,0.599769,6.29879e+07,6.29919e+07
dirty_sweep_cpuidle,dirty_60M_cpuidle_kon,10,0,10,10,0,0.000,NA,NA,0.488321,0.503724,NA,0.471174,0.2035,6.29879e+07,1.48079e+09,0.002538,0.423451,0.00545,0,0,NA,NA,0.477885,0.497287,0.460894,0.4791,6.29879e+07,6.2992e+07
dirty_sweep_cpuidle,dirty_70M_cpuidle,10,10,0,10,0,0.000,0.0885465,0.0944984,NA,NA,0.0847031,NA,NA,NA,1.36219e+09,NA,NA,NA,0,0,0.0842073,0.0904539,NA,NA,NA,NA,NA,NA
dirty_sweep_cpuidle,dirty_70M_cpuidle_koff,10,0,10,10,0,0.000,NA,NA,0.604219,0.6235,NA,0.58858,0.3685,7.34737e+07,1.50871e+09,0.100603,0.421759,0.17,0,0,NA,NA,0.59695,0.617515,0.578593,0.601377,7.34737e+07,7.34778e+07
dirty_sweep_cpuidle,dirty_70M_cpuidle_kon,10,0,10,10,0,0.000,NA,NA,0.506262,0.518662,NA,0.490144,0.374,7.34737e+07,1.50049e+09,0.002457,0.436567,0.0051,0,0,NA,NA,0.493102,0.513215,0.482217,0.497109,7.34737e+07,7.34757e+07
ib_sweep_cpubusy,ib_100ms_cpubusy,10,10,0,10,0,0.000,0.175401,0.243914,NA,NA,0.170021,NA,NA,NA,1.41056e+09,NA,NA,NA,0,0,0.156997,0.20405,NA,NA,NA,NA,NA,NA
ib_sweep_cpubusy,ib_100ms_cpubusy_koff,10,0,10,10,0,0.000,NA,NA,0.229816,0.254933,NA,0.223031,0.2625,1.1257e+06,1.42117e+09,0.135714,0.025721,0.5984,0,0,NA,NA,0.225378,0.245824,0.219228,0.240177,1.1257e+06,1.12572e+06
ib_sweep_cpubusy,ib_100ms_cpubusy_kon,10,0,10,10,0,0.000,NA,NA,0.0993358,0.112145,NA,0.0916219,0.2535,1.12979e+06,1.42153e+09,0.007043,0.043042,0.0786,0,0,NA,NA,0.0921311,0.106941,0.0867999,0.101372,1.12571e+06,1.12981e+06
ib_sweep_cpubusy,ib_150ms_cpubusy,10,10,0,10,0,0.000,0.277196,0.344702,NA,NA,0.266107,NA,NA,NA,1.4106e+09,NA,NA,NA,0,0,0.238716,0.319403,NA,NA,NA,NA,NA,NA
ib_sweep_cpubusy,ib_150ms_cpubusy_koff,10,0,10,10,0,0.000,NA,NA,0.239134,0.251954,NA,0.233463,0.2755,1.12572e+06,1.42147e+09,0.138698,0.026029,0.59455,0,0,NA,NA,0.230822,0.246889,0.225099,0.239994,1.1257e+06,1.12776e+06
ib_sweep_cpubusy,ib_150ms_cpubusy_kon,10,0,10,10,0,0.000,NA,NA,0.0952914,0.101673,NA,0.0876085,0.2815,1.12571e+06,1.42151e+09,0.007443,0.0431005,0.0857,0,0,NA,NA,0.0893552,0.0964038,0.0832988,0.0897403,1.1257e+06,1.12776e+06
ib_sweep_cpubusy,ib_200ms_cpubusy,10,10,0,10,0,0.000,0.28904,0.445002,NA,NA,0.280634,NA,NA,NA,1.4108e+09,NA,NA,NA,0,0,0.277312,0.333169,NA,NA,NA,NA,NA,NA
ib_sweep_cpubusy,ib_200ms_cpubusy_koff,10,0,10,10,0,0.000,NA,NA,0.237174,0.25178,NA,0.231856,0.28,1.12979e+06,1.42147e+09,0.138059,0.0270095,0.59115,0,0,NA,NA,0.231835,0.243852,0.22601,0.237442,1.12571e+06,1.12981e+06
ib_sweep_cpubusy,ib_200ms_cpubusy_kon,10,0,10,10,0,0.000,NA,NA,0.0896791,0.0966226,NA,0.0836803,0.28,1.12776e+06,1.42154e+09,0.0063635,0.043593,0.07565,0,0,NA,NA,0.0884122,0.0957456,0.0825925,0.0896919,1.12571e+06,1.1298e+06
ib_sweep_cpubusy,ib_300ms_cpubusy,10,10,0,10,0,0.000,0.447108,0.649507,NA,NA,0.435302,NA,NA,NA,1.41079e+09,NA,NA,NA,0,0,0.373707,0.640693,NA,NA,NA,NA,NA,NA
ib_sweep_cpubusy,ib_300ms_cpubusy_koff,10,0,10,10,0,0.000,NA,NA,0.236536,0.246736,NA,0.230397,0.2885,1.12572e+06,1.42129e+09,0.131138,0.0259115,0.57835,0,0,NA,NA,0.225885,0.239541,0.219645,0.232983,1.12571e+06,1.1298e+06
ib_sweep_cpubusy,ib_300ms_cpubusy_kon,10,0,10,10,0,0.000,NA,NA,0.095256,0.102504,NA,0.0895275,0.2765,1.12571e+06,1.42133e+09,0.0057255,0.0436155,0.0712,0,0,NA,NA,0.0894539,0.0988364,0.08306,0.0913501,1.1257e+06,1.1298e+06
ib_sweep_cpubusy,ib_500ms_cpubusy,10,10,0,10,0,0.000,0.700985,1.04967,NA,NA,0.691368,NA,NA,NA,1.41077e+09,NA,NA,NA,0,0,0.581098,0.923211,NA,NA,NA,NA,NA,NA
ib_sweep_cpubusy,ib_500ms_cpubusy_koff,10,0,10,10,0,0.000,NA,NA,0.237695,0.246276,NA,0.232258,0.25,1.12571e+06,1.42142e+09,0.133246,0.027546,0.5821,0,0,NA,NA,0.228709,0.245553,0.222329,0.239503,1.1257e+06,1.12776e+06
ib_sweep_cpubusy,ib_500ms_cpubusy_kon,10,0,10,10,0,0.000,NA,NA,0.0916081,0.104052,NA,0.0857309,0.285,1.12571e+06,1.4214e+09,0.004611,0.0415915,0.05265,0,0,NA,NA,0.0870377,0.098899,0.0806792,0.0919593,1.1257e+06,1.1298e+06
ib_sweep_cpubusy,ib_50ms_cpubusy,10,10,0,10,0,0.000,0.133159,0.143323,NA,NA,0.127221,NA,NA,NA,1.41087e+09,NA,NA,NA,0,0,0.110178,0.138016,NA,NA,NA,NA,NA,NA
ib_sweep_cpubusy,ib_50ms_cpubusy_koff,10,0,10,10,0,0.000,NA,NA,0.239194,0.252713,NA,0.23304,0.2905,1.12572e+06,1.42146e+09,0.139341,0.026756,0.587,0,0,NA,NA,0.232291,0.252187,0.226198,0.24614,1.1257e+06,1.1298e+06
ib_sweep_cpubusy,ib_50ms_cpubusy_kon,10,0,10,10,0,0.000,NA,NA,0.0917769,0.0971845,NA,0.0857179,0.288,1.12571e+06,1.42142e+09,0.006107,0.0410655,0.069,0,0,NA,NA,0.0881004,0.0967777,0.0823288,0.091013,1.1257e+06,1.12775e+06
ib_sweep_cpubusy,ib_700ms_cpubusy,10,10,0,10,0,0.000,0.975977,1.28811,NA,NA,0.969819,NA,NA,NA,1.41087e+09,NA,NA,NA,0,0,0.85731,1.02873,NA,NA,NA,NA,NA,NA
ib_sweep_cpubusy,ib_700ms_cpubusy_koff,10,0,10,10,0,0.000,NA,NA,0.237143,0.247042,NA,0.231469,0.2635,1.12572e+06,1.4215e+09,0.136296,0.026243,0.5957,0,0,NA,NA,0.224208,0.244536,0.217839,0.23889,1.1257e+06,1.12979e+06
ib_sweep_cpubusy,ib_700ms_cpubusy_kon,10,0,10,10,0,0.000,NA,NA,0.0924268,0.104894,NA,0.0867322,0.2865,1.12571e+06,1.42147e+09,0.00805,0.044036,0.08865,0,0,NA,NA,0.0876846,0.0988942,0.0818784,0.0932197,1.1257e+06,1.1298e+06
ib_sweep_cpuidle,ib_100ms_cpuidle,10,10,0,10,0,0.000,0.129997,0.135957,NA,NA,0.126923,NA,NA,NA,1.36212e+09,NA,NA,NA,0,0,0.127524,0.133651,NA,NA,NA,NA,NA,NA
ib_sweep_cpuidle,ib_100ms_cpuidle_koff,10,0,10,10,0,0.000,NA,NA,0.196484,0.231895,NA,0.182314,0.14,1.12979e+06,1.37288e+09,0.100222,0.016284,0.5463,0,0,NA,NA,0.194551,0.210263,0.179104,0.192377,1.1257e+06,1.1298e+06
ib_sweep_cpuidle,ib_100ms_cpuidle_kon,10,0,10,10,0,0.000,NA,NA,0.0933485,0.108711,NA,0.0760701,0.1385,1.12572e+06,1.37291e+09,0.002458,0.029439,0.0331,0,0,NA,NA,0.0813911,0.101743,0.0703053,0.0847301,1.1257e+06,1.12777e+06
ib_sweep_cpuidle,ib_150ms_cpuidle,10,10,0,10,0,0.000,0.184257,0.197104,NA,NA,0.179898,NA,NA,NA,1.36225e+09,NA,NA,NA,0,0,0.180363,0.190986,NA,NA,NA,NA,NA,NA
ib_sweep_cpuidle,ib_150ms_cpuidle_koff,10,0,10,10,0,0.000,NA,NA,0.191907,0.217578,NA,0.179016,0.1395,1.12572e+06,1.37285e+09,0.098058,0.01598,0.56015,0,0,NA,NA,0.179271,0.210959,0.169562,0.195244,1.1257e+06,1.12776e+06
ib_sweep_cpuidle,ib_150ms_cpuidle_kon,10,0,10,10,0,0.000,NA,NA,0.0850874,0.108306,NA,0.0712902,0.1405,1.12776e+06,1.37289e+09,0.00243,0.030057,0.03525,0,0,NA,NA,0.076556,0.0967879,0.0615821,0.0787372,1.12571e+06,1.1298e+06
ib_sweep_cpuidle,ib_200ms_cpuidle,10,10,0,10,0,0.000,0.236323,0.245095,NA,NA,0.22855,NA,NA,NA,1.36239e+09,NA,NA,NA,0,0,0.227249,0.241974,NA,NA,NA,NA,NA,NA
ib_sweep_cpuidle,ib_200ms_cpuidle_koff,10,0,10,10,0,0.000,NA,NA,0.201794,0.208893,NA,0.186397,0.1385,1.12571e+06,1.37299e+09,0.0996005,0.0163625,0.5337,0,0,NA,NA,0.192443,0.205508,0.177027,0.188928,1.1257e+06,1.12572e+06
ib_sweep_cpuidle,ib_200ms_cpuidle_kon,10,0,10,10,0,0.000,NA,NA,0.0945301,0.11391,NA,0.0790814,0.1385,1.1257e+06,1.37296e+09,0.002667,0.0321105,0.0337,0,0,NA,NA,0.0780945,0.103329,0.0655456,0.0870152,1.1257e+06,1.12776e+06
ib_sweep_cpuidle,ib_300ms_cpuidle,10,10,0,10,0,0.000,0.334274,0.346882,NA,NA,0.331075,NA,NA,NA,1.36215e+09,NA,NA,NA,0,0,0.325226,0.339329,NA,NA,NA,NA,NA,NA
ib_sweep_cpuidle,ib_300ms_cpuidle_koff,10,0,10,10,0,0.000,NA,NA,0.205402,0.214183,NA,0.18762,0.139,1.12572e+06,1.37282e+09,0.098183,0.016079,0.5247,0,0,NA,NA,0.198574,0.210899,0.183424,0.196069,1.12571e+06,1.1298e+06
ib_sweep_cpuidle,ib_300ms_cpuidle_kon,10,0,10,10,0,0.000,NA,NA,0.0936623,0.105021,NA,0.0760422,0.1385,1.12571e+06,1.37292e+09,0.002597,0.028473,0.0353,0,0,NA,NA,0.0897427,0.0984604,0.072454,0.0805809,1.1257e+06,1.1298e+06
ib_sweep_cpuidle,ib_500ms_cpuidle,10,10,0,10,0,0.000,0.54123,0.551894,NA,NA,0.532362,NA,NA,NA,1.36223e+09,NA,NA,NA,0,0,0.535796,0.54787,NA,NA,NA,NA,NA,NA
ib_sweep_cpuidle,ib_500ms_cpuidle_koff,10,0,10,10,0,0.000,NA,NA,0.200552,0.215773,NA,0.183044,0.1405,1.12571e+06,1.3731e+09,0.0947575,0.0161,0.5174,0,0,NA,NA,0.189369,0.205443,0.172201,0.189432,1.1257e+06,1.12979e+06
ib_sweep_cpuidle,ib_500ms_cpuidle_kon,10,0,10,10,0,0.000,NA,NA,0.093924,0.109526,NA,0.0747598,0.139,1.12572e+06,1.37284e+09,0.002463,0.02894,0.0314,0,0,NA,NA,0.087069,0.10158,0.0727149,0.0825899,1.1257e+06,1.1298e+06
ib_sweep_cpuidle,ib_50ms_cpuidle,10,10,0,10,0,0.000,0.0807234,0.0925001,NA,NA,0.0776656,NA,NA,NA,1.36228e+09,NA,NA,NA,0,0,0.0771801,0.0908935,NA,NA,NA,NA,NA,NA
ib_sweep_cpuidle,ib_50ms_cpuidle_koff,10,0,10,10,0,0.000,NA,NA,0.204854,0.227829,NA,0.186151,0.1425,1.12571e+06,1.37303e+09,0.098062,0.0159485,0.5268,0,0,NA,NA,0.195522,0.213714,0.181272,0.195508,1.1257e+06,1.1298e+06
ib_sweep_cpuidle,ib_50ms_cpuidle_kon,10,0,10,10,0,0.000,NA,NA,0.0959492,0.106165,NA,0.0805135,0.14,1.12571e+06,1.37292e+09,0.002464,0.0290425,0.0292,0,0,NA,NA,0.084252,0.105214,0.0688758,0.0852938,1.1257e+06,1.12572e+06
ib_sweep_cpuidle,ib_700ms_cpuidle,10,10,0,10,0,0.000,0.733641,0.744525,NA,NA,0.727786,NA,NA,NA,1.3622e+09,NA,NA,NA,0,0,0.728511,0.740376,NA,NA,NA,NA,NA,NA
ib_sweep_cpuidle,ib_700ms_cpuidle_koff,10,0,10,10,0,0.000,NA,NA,0.198032,0.215018,NA,0.182667,0.1425,1.12572e+06,1.37304e+09,0.098342,0.0161555,0.53095,0,0,NA,NA,0.182593,0.205512,0.166516,0.188856,1.1257e+06,1.1298e+06
ib_sweep_cpuidle,ib_700ms_cpuidle_kon,10,0,10,10,0,0.000,NA,NA,0.0965341,0.107347,NA,0.077649,0.139,1.12571e+06,1.37298e+09,0.002402,0.032512,0.02945,0,0,NA,NA,0.082358,0.10246,0.0710646,0.0867484,1.1257e+06,1.12981e+06
