workload,phase,c_line_no,statement
fp_s_plain,init,100,g_port = (int)port;
fp_s_plain,base_mem,108,}
fp_s_plain,f_plain,108,}
fp_s_plain,steady,119,"probe_serve_pending(lfd, 100);"
fp_s_large_heap,init,100,g_port = (int)port;
fp_s_large_heap,base_mem,108,}
fp_s_large_heap,f_large_heap_l01,111,"{ size_t n = 300ull << 20; char *p = malloc(n); if (!p) die(""large_heap malloc"");"
fp_s_large_heap,f_large_heap_l02,113,for (size_t i = 0; i < n; i += 4096) p[i] = 1;
fp_s_large_heap,f_large_heap,115,KEEP(p); }
fp_s_large_heap,steady,124,"probe_serve_pending(lfd, 100);"
fp_s_dirty_churn,init,100,g_port = (int)port;
fp_s_dirty_churn,base_mem,108,}
fp_s_dirty_churn,f_dirty_churn,108,}
fp_s_dirty_churn,steady,122,off = (off + span) % (g_base_n ? g_base_n : 1); }
fp_s_logfile,init,100,g_port = (int)port;
fp_s_logfile,base_mem,108,}
fp_s_logfile,f_logfile_l01,111,"{ snprintf(g_path_logfile, sizeof(g_path_logfile), ""/tmp/criuprobe_log_p%d"", g_port);"
fp_s_logfile,f_logfile_l02,113,"int fd = open(g_path_logfile, O_CREAT | O_WRONLY | O_APPEND, 0644);"
fp_s_logfile,f_logfile,116,"dprintf(fd, ""start\n""); KEEPFD(fd); g_logfd = fd; }"
fp_s_logfile,steady,126,"if (g_logfd >= 0) dprintf(g_logfd, ""t\n"");"
fp_s_tmpunlink,init,100,g_port = (int)port;
fp_s_tmpunlink,base_mem,108,}
fp_s_tmpunlink,f_tmpunlink_l01,111,"{ char tmpl[] = ""/tmp/criuprobe_ghost_XXXXXX""; int fd = mkstemp(tmpl);"
fp_s_tmpunlink,f_tmpunlink_l02,114,"char b[4096]; memset(b, 7, sizeof(b));"
fp_s_tmpunlink,f_tmpunlink_l03,116,"if (write(fd, b, sizeof(b)) != sizeof(b)) die(""ghost write"");"
fp_s_tmpunlink,f_tmpunlink,119,KEEPFD(fd); }
fp_s_tmpunlink,steady,128,"probe_serve_pending(lfd, 100);"
fp_s_fifo,init,100,g_port = (int)port;
fp_s_fifo,base_mem,108,}
fp_s_fifo,f_fifo_l01,111,"{ snprintf(g_path_fifo, sizeof(g_path_fifo), ""/tmp/criuprobe_fifo_p%d"", g_port);"
fp_s_fifo,f_fifo_l02,113,unlink(g_path_fifo);
fp_s_fifo,f_fifo_l03,115,"if (mkfifo(g_path_fifo, 0600) < 0) die(""mkfifo"");"
fp_s_fifo,f_fifo,117,"int fd = open(g_path_fifo, O_RDWR); if (fd < 0) die(""fifo open""); KEEPFD(fd); }"
fp_s_fifo,steady,126,"probe_serve_pending(lfd, 100);"
fp_s_pipe,init,100,g_port = (int)port;
fp_s_pipe,base_mem,108,}
fp_s_pipe,f_pipe_l01,111,"{ int p[2]; if (pipe2(p, 0) < 0) die(""pipe2"");"
fp_s_pipe,f_pipe_l02,113,"if (write(p[1], ""pending-data\n"", 13) != 13) die(""pipe write"");"
fp_s_pipe,f_pipe,115,KEEPFD(p[0]); KEEPFD(p[1]); }
fp_s_pipe,steady,124,"probe_serve_pending(lfd, 100);"
fp_s_socketpair,init,100,g_port = (int)port;
fp_s_socketpair,base_mem,108,}
fp_s_socketpair,f_socketpair_l01,111,"{ int sv[2]; if (socketpair(AF_UNIX, SOCK_STREAM, 0, sv) < 0) die(""socketpair"");"
fp_s_socketpair,f_socketpair,114,KEEPFD(sv[0]); KEEPFD(sv[1]); }
fp_s_socketpair,steady,123,"probe_serve_pending(lfd, 100);"
fp_s_unix_listen,init,100,g_port = (int)port;
fp_s_unix_listen,base_mem,108,}
fp_s_unix_listen,f_unix_listen_l01,111,"{ snprintf(g_path_us, sizeof(g_path_us), ""/tmp/criuprobe_us_p%d"", g_port);"
fp_s_unix_listen,f_unix_listen_l02,113,unlink(g_path_us);
fp_s_unix_listen,f_unix_listen_l03,115,"int fd = socket(AF_UNIX, SOCK_STREAM, 0); if (fd < 0) die(""us socket"");"
fp_s_unix_listen,f_unix_listen_l04,117,"struct sockaddr_un a; memset(&a, 0, sizeof(a)); a.sun_family = AF_UNIX;"
fp_s_unix_listen,f_unix_listen_l05,119,"snprintf(a.sun_path, sizeof(a.sun_path), ""%s"", g_path_us);"
fp_s_unix_listen,f_unix_listen_l06,121,"if (bind(fd, (struct sockaddr *)&a, sizeof(a)) < 0) die(""us bind"");"
fp_s_unix_listen,f_unix_listen,124,KEEPFD(fd); g_usfd = fd; }
fp_s_unix_listen,steady,133,"probe_serve_pending(lfd, 100);"
fp_s_unix_conn,init,100,g_port = (int)port;
fp_s_unix_conn,base_mem,108,}
fp_s_unix_conn,f_unix_conn_l01,120,"int cl = socket(AF_UNIX, SOCK_STREAM, 0); if (cl < 0) die(""uconn socket"");"
fp_s_unix_conn,f_unix_conn_l02,122,"struct sockaddr_un a; memset(&a, 0, sizeof(a)); a.sun_family = AF_UNIX;"
fp_s_unix_conn,f_unix_conn_l03,124,"snprintf(a.sun_path, sizeof(a.sun_path), ""%s"", g_path_us);"
fp_s_unix_conn,f_unix_conn_l04,126,"if (connect(cl, (struct sockaddr *)&a, sizeof(a)) < 0) die(""uconn connect"");"
fp_s_unix_conn,f_unix_conn_l05,128,"int sv = accept(g_usfd, NULL, NULL); if (sv < 0) die(""uconn accept"");"
fp_s_unix_conn,f_unix_conn,130,KEEPFD(cl); KEEPFD(sv); }
fp_s_unix_conn,steady,139,"probe_serve_pending(lfd, 100);"
fp_s_tcp_listen2,init,100,g_port = (int)port;
fp_s_tcp_listen2,base_mem,108,}
fp_s_tcp_listen2,f_tcp_listen2,111,"{ int extra_port = 0; int fd = probe_listen(0, &extra_port); KEEPFD(fd); (void)extra_port; }"
