scenario,family,phase,criu_opts,pre_dump,post_dump,restore_mem_mib,hub_mode,launch_ok,dump_rc,restore_rc,img_kib,v_pong,v_stat,v_hub,v_tcp,v_live5,v_resume,rereg_ms,verdict,world,dump_err,restore_err
S001pure.stri__init,S,init,strict,none,none,0,none,1,0,0,292,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=644 regs=6 log_rx=2750 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__db_open,S,db_open,strict,none,none,0,none,1,0,0,296,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=652 regs=6 log_rx=2750 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__db_read,S,db_read,strict,none,none,0,none,1,0,0,1316,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=660 regs=6 log_rx=2800 svcs=4 mem_mib=814 memd_kills=0
0","",""
S001pure.stri__db_read_p25,S,db_read_p25,strict,none,none,0,none,1,0,0,1316,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=668 regs=6 log_rx=2850 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__db_read_p50,S,db_read_p50,strict,none,none,0,none,1,0,0,1316,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=675 regs=6 log_rx=2850 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__db_read_p75,S,db_read_p75,strict,none,none,0,none,1,0,0,1316,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=683 regs=6 log_rx=2900 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__db_parse,S,db_parse,strict,none,none,0,none,1,0,0,1312,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=691 regs=6 log_rx=2950 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__db_parse_p25,S,db_parse_p25,strict,none,none,0,none,1,0,0,1312,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=699 regs=6 log_rx=2950 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__db_parse_p50,S,db_parse_p50,strict,none,none,0,none,1,0,0,1312,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=707 regs=6 log_rx=3000 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__db_parse_p75,S,db_parse_p75,strict,none,none,0,none,1,0,0,1312,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=715 regs=6 log_rx=3050 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__epg_index,S,epg_index,strict,none,none,0,none,1,0,0,13604,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=723 regs=6 log_rx=3050 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__epg_index_p25,S,epg_index_p25,strict,none,none,0,none,1,0,0,4392,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=731 regs=6 log_rx=3100 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__epg_index_p50,S,epg_index_p50,strict,none,none,0,none,1,0,0,7464,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=738 regs=6 log_rx=3150 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__epg_index_p75,S,epg_index_p75,strict,none,none,0,none,1,0,0,10536,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=746 regs=6 log_rx=3150 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__epg_text,S,epg_text,strict,none,none,0,none,1,0,0,13604,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=754 regs=6 log_rx=3200 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__epg_reserve,S,epg_reserve,strict,none,none,0,none,1,0,0,13604,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=762 regs=6 log_rx=3250 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__timer_armed,S,timer_armed,strict,none,none,0,none,1,0,0,13600,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=770 regs=6 log_rx=3250 svcs=4 mem_mib=815 memd_kills=0
0","",""
S001pure.stri__db_watch,S,db_watch,strict,none,none,0,none,1,1,na,132,na,na,na,na,na,na,na,dump_fail,"up_s=778 regs=6 log_rx=3300 svcs=4 mem_mib=815 memd_kills=0
0","(00.211577) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S001pure.stri__ready,S,ready,strict,none,none,0,none,1,1,na,132,na,na,na,na,na,na,na,dump_fail,"up_s=786 regs=6 log_rx=3350 svcs=4 mem_mib=815 memd_kills=0
0","(00.134196) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S001pure.stri__steady,S,steady,strict,none,none,0,none,1,1,na,132,na,na,na,na,na,na,na,dump_fail,"up_s=794 regs=6 log_rx=3400 svcs=4 mem_mib=815 memd_kills=0
0","(00.141804) Error (criu/fsnotify.c:284): fsnotify: 	Can't dump that handle",""
S002pure.ext___init,S,init,ext_unix,none,none,0,none,1,0,0,292,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=802 regs=6 log_rx=3400 svcs=4 mem_mib=815 memd_kills=0
0","",""
S002pure.ext___db_open,S,db_open,ext_unix,none,none,0,none,1,0,0,292,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=810 regs=6 log_rx=3450 svcs=4 mem_mib=815 memd_kills=0
0","",""
S002pure.ext___db_read,S,db_read,ext_unix,none,none,0,none,1,0,0,1312,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=818 regs=6 log_rx=3500 svcs=4 mem_mib=815 memd_kills=0
0","",""
S002pure.ext___db_read_p25,S,db_read_p25,ext_unix,none,none,0,none,1,0,0,1312,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=825 regs=6 log_rx=3500 svcs=4 mem_mib=815 memd_kills=0
0","",""
S002pure.ext___db_read_p50,S,db_read_p50,ext_unix,none,none,0,none,1,0,0,1312,na,na,na,na,na,resumed_to_ready,na,ok,"up_s=833 regs=6 log_rx=3550 svcs=4 mem_mib=815 memd_kills=0
0","",""
